iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
142,128,3,1,3584,128,5,1,409728,32,3,0,36896,450208
143,128,3,1,3584,64,3,2,73792,32,5,0,51232,128608
144,128,3,1,3584,256,3,1,295168,16,5,1,102416,401168
145,128,3,1,3584,256,1,0,33024,16,5,2,102416,139024
146,128,3,1,3584,64,1,1,8256,128,3,2,73856,85696
147,128,3,1,3584,16,1,2,2064,16,3,0,2320,7968
148,128,3,1,3584,64,3,0,73792,16,5,2,25616,102992
149,128,3,1,3584,128,5,0,409728,128,1,1,16512,429824
150,128,3,1,3584,16,3,0,18448,64,5,0,25664,47696
151,128,3,1,3584,64,1,1,8256,128,5,2,204928,216768
152,128,3,1,3584,256,3,1,295168,32,5,0,204832,503584
153,128,3,1,3584,128,1,0,16512,256,1,2,33024,53120
154,128,3,1,3584,32,3,2,36896,32,1,1,1056,41536
155,128,3,1,3584,128,1,1,16512,64,3,2,73792,93888
156,128,3,1,3584,64,3,0,73792,128,1,2,8320,85696
157,128,3,1,3584,16,1,2,2064,64,5,0,25664,31312
158,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
159,128,3,1,3584,16,3,2,18448,128,5,2,51328,73360
160,128,3,1,3584,64,5,2,204864,16,3,1,9232,217680
161,128,3,1,3584,128,3,2,147584,128,5,1,409728,560896
162,128,3,1,3584,128,3,1,147584,64,3,1,73792,224960
163,128,3,1,3584,128,3,0,147584,32,1,1,4128,155296
164,128,3,1,3584,32,5,1,102432,256,3,2,73984,180000
165,128,3,1,3584,64,5,1,204864,256,3,2,147712,356160
166,128,3,1,3584,128,3,0,147584,128,3,0,147584,298752
167,128,3,1,3584,64,1,2,8256,256,3,1,147712,159552
168,128,3,1,3584,64,3,0,73792,256,3,1,147712,225088
169,128,3,1,3584,256,5,0,819456,128,1,1,32896,855936
170,128,3,1,3584,256,3,1,295168,256,1,0,65792,364544
171,128,3,1,3584,128,3,0,147584,32,5,2,102432,253600
172,128,3,1,3584,128,5,1,409728,256,5,1,819456,1232768
173,128,3,1,3584,128,3,0,147584,16,5,0,51216,202384
174,128,3,1,3584,64,3,0,73792,128,1,0,8320,85696
175,128,3,1,3584,128,1,0,16512,64,3,0,73792,93888
176,128,3,1,3584,16,3,0,18448,64,3,1,9280,31312
177,128,3,1,3584,64,3,1,73792,16,1,1,1040,78416
178,128,3,1,3584,128,5,0,409728,64,3,0,73792,487104
179,128,3,1,3584,128,3,1,147584,256,5,1,819456,970624
180,128,3,1,3584,128,3,0,147584,32,1,2,4128,155296
181,128,3,1,3584,256,3,0,295168,128,5,1,819328,1118080
182,128,3,1,3584,256,5,2,819456,256,1,0,65792,888832
183,128,3,1,3584,64,3,0,73792,256,3,1,147712,225088
184,128,3,1,3584,16,3,0,18448,64,3,0,9280,31312
185,128,3,1,3584,128,5,2,409728,16,3,0,18448,431760
186,128,3,1,3584,64,5,1,204864,128,5,2,204928,413376
187,128,3,1,3584,16,1,0,2064,128,5,1,51328,56976
188,128,3,1,3584,64,5,2,204864,256,3,0,147712,356160
189,128,3,1,3584,32,3,2,36896,256,3,0,73984,114464
190,128,3,1,3584,128,3,0,147584,16,3,1,18448,169616
191,128,3,1,3584,128,1,2,16512,32,1,2,4128,24224
192,128,3,1,3584,256,3,0,295168,32,5,2,204832,503584
193,128,3,1,3584,32,1,1,4128,64,5,2,51264,58976
194,128,3,1,3584,128,1,2,16512,64,3,2,73792,93888
195,128,3,1,3584,128,3,1,147584,32,3,0,36896,188064
196,128,3,1,3584,256,1,2,33024,64,3,0,147520,184128
197,128,3,1,3584,64,5,1,204864,32,3,2,18464,226912
198,128,3,1,3584,32,1,0,4128,16,1,1,528,8240
199,128,3,1,3584,32,1,2,4128,16,1,2,528,8240
200,128,3,1,3584,32,3,1,36896,64,1,2,2112,42592
201,128,3,1,3584,128,3,1,147584,16,1,0,2064,153232
202,128,3,1,3584,16,3,2,18448,32,1,0,544,22576
203,128,3,1,3584,256,3,1,295168,64,3,1,147520,446272
204,128,3,1,3584,128,1,0,16512,16,1,2,2064,22160
205,128,3,1,3584,128,3,2,147584,64,1,2,8256,159424
206,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
207,128,3,1,3584,64,1,2,8256,64,5,2,102464,114304
208,128,3,1,3584,64,5,0,204864,128,3,0,73856,282304
209,128,3,1,3584,32,3,0,36896,16,1,2,528,41008
210,128,3,1,3584,256,3,0,295168,32,1,0,8224,306976
211,128,3,1,3584,16,5,2,51216,64,1,2,1088,55888
212,128,3,1,3584,32,5,2,102432,32,1,2,1056,107072
213,128,3,1,3584,32,5,0,102432,256,1,2,8448,114464
214,128,3,1,3584,128,3,1,147584,64,5,2,204864,356032
215,128,3,1,3584,128,5,0,409728,128,5,0,409728,823040
216,128,3,1,3584,16,3,2,18448,256,3,2,37120,59152
217,128,3,1,3584,16,3,2,18448,32,3,2,4640,26672
218,128,3,1,3584,256,5,1,819456,64,3,2,147520,970560
219,128,3,1,3584,256,3,1,295168,32,1,0,8224,306976
220,128,3,1,3584,256,1,2,33024,16,3,2,36880,73488
221,128,3,1,3584,64,1,1,8256,256,5,0,409856,421696
222,128,3,1,3584,128,1,0,16512,16,5,2,51216,71312
223,128,3,1,3584,256,1,2,33024,64,3,1,147520,184128
224,128,3,1,3584,32,3,0,36896,32,5,0,25632,66112
225,128,3,1,3584,16,3,0,18448,128,5,2,51328,73360
226,128,3,1,3584,128,5,0,409728,256,5,1,819456,1232768
227,128,3,1,3584,16,5,0,51216,256,5,2,102656,157456
228,128,3,1,3584,64,5,1,204864,64,3,0,36928,245376
229,128,3,1,3584,64,1,1,8256,128,3,2,73856,85696
230,128,3,1,3584,256,3,0,295168,256,3,0,590080,888832
231,128,3,1,3584,64,5,2,204864,32,1,2,2080,210528
232,128,3,1,3584,256,1,2,33024,64,5,1,409664,446272
233,128,3,1,3584,256,1,2,33024,256,3,0,590080,626688
234,128,3,1,3584,128,3,0,147584,64,5,0,204864,356032
235,128,3,1,3584,64,1,0,8256,128,1,0,8320,20160
236,128,3,1,3584,32,5,1,102432,64,5,0,51264,157280
237,128,3,1,3584,256,5,0,819456,32,3,0,73760,896800
238,128,3,1,3584,256,5,2,819456,64,3,0,147520,970560
239,128,3,1,3584,64,1,0,8256,16,3,1,9232,21072
240,128,3,1,3584,256,1,0,33024,32,3,1,73760,110368
241,128,3,1,3584,64,1,1,8256,32,1,2,2080,13920
242,128,3,1,3584,64,5,0,204864,16,3,0,9232,217680
243,128,3,1,3584,16,3,2,18448,256,5,2,102656,124688
244,128,3,1,3584,128,3,2,147584,32,5,1,102432,253600
245,128,3,1,3584,32,1,2,4128,256,5,1,205056,212768
246,128,3,1,3584,128,3,1,147584,64,1,0,8256,159424
