iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
287,128,3,1,3584,256,3,1,295168,128,5,2,819328,1118080
288,128,3,1,3584,128,3,0,147584,256,3,1,295168,446336
289,128,3,1,3584,32,5,2,102432,256,1,2,8448,114464
290,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
291,128,3,1,3584,128,3,1,147584,256,3,1,295168,446336
292,128,3,1,3584,256,3,1,295168,64,5,2,409664,708416
293,128,3,1,3584,256,3,2,295168,32,3,0,73760,372512
294,128,3,1,3584,256,3,0,295168,128,3,1,295040,593792
295,128,3,1,3584,32,3,1,36896,256,3,1,73984,114464
296,128,3,1,3584,32,3,2,36896,256,3,1,73984,114464
297,128,3,1,3584,256,1,1,33024,256,1,2,65792,102400
298,128,3,1,3584,256,5,2,819456,32,3,1,73760,896800
299,128,3,1,3584,256,3,1,295168,128,3,2,295040,593792
300,128,3,1,3584,256,3,2,295168,256,5,1,1638656,1937408
301,128,3,1,3584,256,3,0,295168,64,3,1,147520,446272
302,128,3,1,3584,256,1,1,33024,64,3,0,147520,184128
303,128,3,1,3584,64,1,1,8256,128,1,0,8320,20160
304,128,3,1,3584,256,3,1,295168,64,3,1,147520,446272
305,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
306,128,3,1,3584,256,3,2,295168,128,3,1,295040,593792
307,128,3,1,3584,16,3,0,18448,128,1,1,2176,24208
308,128,3,1,3584,128,3,1,147584,32,1,2,4128,155296
309,128,3,1,3584,256,3,0,295168,256,3,0,590080,888832
310,128,3,1,3584,16,1,1,2064,64,3,1,9280,14928
311,128,3,1,3584,256,5,1,819456,256,3,0,590080,1413120
312,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
313,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
314,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
315,128,3,1,3584,128,1,2,16512,256,3,2,295168,315264
316,128,3,1,3584,256,3,0,295168,256,1,2,65792,364544
317,128,3,1,3584,256,3,2,295168,128,3,1,295040,593792
318,128,3,1,3584,32,3,0,36896,128,1,1,4224,44704
319,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
320,128,3,1,3584,64,3,2,73792,128,3,1,73856,151232
321,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
322,128,3,1,3584,256,3,0,295168,64,3,2,147520,446272
323,128,3,1,3584,256,3,1,295168,128,3,1,295040,593792
324,128,3,1,3584,128,3,2,147584,256,3,2,295168,446336
325,128,3,1,3584,256,3,1,295168,256,5,2,1638656,1937408
326,128,3,1,3584,64,3,2,73792,256,3,1,147712,225088
327,128,3,1,3584,256,3,1,295168,256,5,1,1638656,1937408
328,128,3,1,3584,128,3,0,147584,256,3,2,295168,446336
329,128,3,1,3584,256,5,1,819456,128,5,1,819328,1642368
330,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
331,128,3,1,3584,128,3,0,147584,256,3,1,295168,446336
332,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
333,128,3,1,3584,256,3,0,295168,128,3,1,295040,593792
334,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
335,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
336,128,3,1,3584,256,3,1,295168,64,1,0,16448,315200
337,128,3,1,3584,256,5,1,819456,256,3,2,590080,1413120
338,128,3,1,3584,256,1,2,33024,64,3,1,147520,184128
339,128,3,1,3584,64,3,2,73792,128,3,1,73856,151232
340,128,3,1,3584,16,3,2,18448,256,3,2,37120,59152
341,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
342,128,3,1,3584,256,3,0,295168,64,3,2,147520,446272
343,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
344,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
345,128,3,1,3584,256,5,0,819456,64,3,2,147520,970560
346,128,3,1,3584,64,1,1,8256,256,3,1,147712,159552
347,128,3,1,3584,256,3,0,295168,256,3,0,590080,888832
348,128,3,1,3584,256,3,1,295168,128,1,1,32896,331648
349,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
350,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
351,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
352,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
353,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
354,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
355,128,3,1,3584,32,1,1,4128,128,3,0,36992,44704
356,128,3,1,3584,64,3,1,73792,256,5,1,409856,487232
357,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
358,128,3,1,3584,64,3,2,73792,256,3,2,147712,225088
359,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
360,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
361,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
362,128,3,1,3584,256,3,0,295168,256,3,1,590080,888832
363,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
364,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
365,128,3,1,3584,256,1,1,33024,32,3,2,73760,110368
366,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
367,128,3,1,3584,256,5,1,819456,64,3,0,147520,970560
368,128,3,1,3584,256,3,2,295168,256,1,1,65792,364544
369,128,3,1,3584,256,3,1,295168,64,3,1,147520,446272
370,128,3,1,3584,256,3,0,295168,256,3,2,590080,888832
371,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
372,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
373,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
374,128,3,1,3584,256,3,2,295168,256,1,1,65792,364544
375,128,3,1,3584,64,1,2,8256,256,3,1,147712,159552
376,128,3,1,3584,128,3,2,147584,256,3,1,295168,446336
377,128,3,1,3584,256,3,0,295168,256,3,0,590080,888832
378,128,3,1,3584,256,3,0,295168,256,3,2,590080,888832
379,128,3,1,3584,64,3,2,73792,64,3,0,36928,114304
380,128,3,1,3584,256,1,1,33024,256,3,1,590080,626688
381,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
382,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
383,128,3,1,3584,256,3,2,295168,128,3,2,295040,593792
384,128,3,1,3584,256,3,2,295168,128,3,2,295040,593792
385,128,3,1,3584,256,3,2,295168,256,1,2,65792,364544
386,128,3,1,3584,256,3,0,295168,64,3,1,147520,446272
387,128,3,1,3584,64,3,1,73792,256,3,2,147712,225088
388,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
389,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
390,128,3,1,3584,256,5,0,819456,256,3,2,590080,1413120
391,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
392,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
393,128,3,1,3584,256,3,0,295168,256,3,1,590080,888832
394,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
395,128,3,1,3584,64,1,1,8256,256,3,2,147712,159552
396,128,3,1,3584,256,3,2,295168,256,1,0,65792,364544
397,128,3,1,3584,64,3,1,73792,256,3,2,147712,225088
398,128,3,1,3584,256,3,2,295168,64,3,1,147520,446272
399,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
400,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
401,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
402,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
403,128,3,1,3584,256,3,1,295168,64,1,0,16448,315200
404,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
405,128,3,1,3584,32,3,2,36896,256,3,2,73984,114464
406,128,3,1,3584,64,3,1,73792,128,3,1,73856,151232
407,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
408,128,3,1,3584,128,3,1,147584,256,3,2,295168,446336
409,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
410,128,3,1,3584,256,3,2,295168,128,3,2,295040,593792
411,128,3,1,3584,64,1,2,8256,256,3,2,147712,159552
412,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
413,128,3,1,3584,16,3,0,18448,256,5,1,102656,124688
414,128,3,1,3584,256,3,0,295168,256,3,1,590080,888832
415,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
416,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
417,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
418,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
419,128,3,1,3584,256,3,0,295168,256,3,2,590080,888832
420,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
421,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
422,128,3,1,3584,64,3,2,73792,256,3,1,147712,225088
423,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
424,128,3,1,3584,64,3,1,73792,16,1,1,1040,78416
425,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
