iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
151,128,3,1,3584,256,5,0,819456,32,1,2,8224,831264
152,128,3,1,3584,16,5,2,51216,64,3,1,9280,64080
153,128,3,1,3584,64,5,1,204864,64,5,2,102464,310912
154,128,3,1,3584,128,3,1,147584,64,5,0,204864,356032
155,128,3,1,3584,32,1,1,4128,256,5,0,205056,212768
156,128,3,1,3584,128,1,2,16512,128,5,2,409728,429824
157,128,3,1,3584,64,1,2,8256,32,5,1,51232,63072
158,128,3,1,3584,256,5,2,819456,64,5,2,409664,1232704
159,128,3,1,3584,128,5,0,409728,256,3,2,295168,708480
160,128,3,1,3584,16,5,1,51216,32,3,2,4640,59440
161,128,3,1,3584,64,1,1,8256,256,3,2,147712,159552
162,128,3,1,3584,256,3,1,295168,32,5,1,204832,503584
163,128,3,1,3584,32,1,0,4128,256,1,2,8448,16160
164,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
165,128,3,1,3584,128,1,0,16512,128,5,0,409728,429824
166,128,3,1,3584,128,5,2,409728,32,5,1,102432,515744
167,128,3,1,3584,128,5,2,409728,64,3,1,73792,487104
168,128,3,1,3584,128,5,0,409728,128,5,2,409728,823040
169,128,3,1,3584,64,5,0,204864,32,5,2,51232,259680
170,128,3,1,3584,256,3,0,295168,16,5,1,102416,401168
171,128,3,1,3584,256,5,2,819456,64,1,1,16448,839488
172,128,3,1,3584,256,5,2,819456,128,3,1,295040,1118080
173,128,3,1,3584,32,5,2,102432,64,5,2,51264,157280
174,128,3,1,3584,128,5,1,409728,128,3,1,147584,560896
175,128,3,1,3584,128,5,2,409728,256,5,2,819456,1232768
176,128,3,1,3584,64,1,1,8256,64,5,0,102464,114304
177,128,3,1,3584,256,3,1,295168,256,5,0,1638656,1937408
178,128,3,1,3584,16,5,0,51216,64,1,2,1088,55888
179,128,3,1,3584,16,1,0,2064,256,5,2,102656,108304
180,128,3,1,3584,64,3,2,73792,32,3,2,18464,95840
181,128,3,1,3584,256,5,2,819456,128,3,1,295040,1118080
182,128,3,1,3584,16,3,0,18448,32,1,2,544,22576
183,128,3,1,3584,32,5,0,102432,256,5,0,205056,311072
184,128,3,1,3584,16,1,2,2064,16,3,2,2320,7968
