iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
180,128,3,1,3584,256,1,2,33024,64,5,1,409664,446272
181,128,3,1,3584,256,5,1,819456,64,5,0,409664,1232704
182,128,3,1,3584,32,5,1,102432,128,5,1,102528,208544
183,128,3,1,3584,64,1,2,8256,64,3,0,36928,48768
184,128,3,1,3584,256,1,2,33024,128,1,1,32896,69504
185,128,3,1,3584,256,1,1,33024,128,1,2,32896,69504
186,128,3,1,3584,128,1,1,16512,64,3,0,73792,93888
187,128,3,1,3584,256,3,2,295168,128,5,0,819328,1118080
188,128,3,1,3584,128,3,2,147584,256,1,0,33024,184192
189,128,3,1,3584,32,1,0,4128,256,5,1,205056,212768
190,128,3,1,3584,128,1,1,16512,256,3,0,295168,315264
191,128,3,1,3584,128,5,2,409728,256,3,2,295168,708480
192,128,3,1,3584,128,5,1,409728,256,3,1,295168,708480
193,128,3,1,3584,64,5,2,204864,128,3,1,73856,282304
194,128,3,1,3584,256,1,2,33024,128,3,1,295040,331648
195,128,3,1,3584,32,1,1,4128,64,5,1,51264,58976
196,128,3,1,3584,256,5,2,819456,256,5,1,1638656,2461696
197,128,3,1,3584,64,1,1,8256,64,5,2,102464,114304
198,128,3,1,3584,256,3,0,295168,16,1,2,4112,302864
199,128,3,1,3584,16,1,0,2064,32,5,0,12832,18480
200,128,3,1,3584,256,1,2,33024,256,1,1,65792,102400
201,128,3,1,3584,64,1,1,8256,256,5,0,409856,421696
202,128,3,1,3584,256,3,2,295168,64,5,0,409664,708416
203,128,3,1,3584,64,1,2,8256,64,5,1,102464,114304
204,128,3,1,3584,256,1,2,33024,256,5,1,1638656,1675264
205,128,3,1,3584,256,1,0,33024,128,5,1,819328,855936
206,128,3,1,3584,64,1,1,8256,16,3,2,9232,21072
207,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
208,128,3,1,3584,128,1,2,16512,256,5,0,819456,839552
209,128,3,1,3584,128,5,1,409728,64,5,2,204864,618176
210,128,3,1,3584,128,3,2,147584,128,1,0,16512,167680
211,128,3,1,3584,64,3,1,73792,64,3,2,36928,114304
212,128,3,1,3584,256,1,2,33024,64,3,2,147520,184128
213,128,3,1,3584,32,3,2,36896,256,5,2,205056,245536
214,128,3,1,3584,64,5,1,204864,64,5,2,102464,310912
