iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
161,128,3,1,3584,32,3,0,36896,32,3,2,9248,49728
162,128,3,1,3584,256,3,1,295168,64,3,2,147520,446272
163,128,3,1,3584,32,3,0,36896,32,3,0,9248,49728
164,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
165,128,3,1,3584,64,1,0,8256,32,3,1,18464,30304
166,128,3,1,3584,128,3,2,147584,128,5,0,409728,560896
167,128,3,1,3584,128,3,0,147584,64,3,1,73792,224960
168,128,3,1,3584,64,5,1,204864,64,5,2,102464,310912
169,128,3,1,3584,32,3,1,36896,16,3,1,4624,45104
170,128,3,1,3584,128,3,0,147584,32,3,1,36896,188064
171,128,3,1,3584,256,3,0,295168,64,3,1,147520,446272
172,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
173,128,3,1,3584,128,5,1,409728,128,5,0,409728,823040
174,128,3,1,3584,32,3,1,36896,32,3,0,9248,49728
175,128,3,1,3584,32,3,0,36896,256,1,0,8448,48928
176,128,3,1,3584,128,3,0,147584,64,5,1,204864,356032
177,128,3,1,3584,16,3,0,18448,128,3,0,18560,40592
178,128,3,1,3584,32,3,1,36896,256,3,0,73984,114464
179,128,3,1,3584,128,3,0,147584,32,5,1,102432,253600
180,128,3,1,3584,64,3,0,73792,32,1,0,2080,79456
181,128,3,1,3584,32,3,0,36896,256,3,2,73984,114464
182,128,3,1,3584,64,3,1,73792,256,5,0,409856,487232
183,128,3,1,3584,64,5,0,204864,32,5,2,51232,259680
184,128,3,1,3584,64,5,1,204864,64,5,1,102464,310912
185,128,3,1,3584,64,3,0,73792,256,1,1,16640,94016
186,128,3,1,3584,64,3,0,73792,32,5,0,51232,128608
187,128,3,1,3584,128,1,1,16512,32,3,0,36896,56992
188,128,3,1,3584,64,3,0,73792,64,3,1,36928,114304
189,128,3,1,3584,128,3,0,147584,64,3,0,73792,224960
190,128,3,1,3584,64,3,1,73792,64,1,0,4160,81536
191,128,3,1,3584,64,1,2,8256,32,3,0,18464,30304
192,128,3,1,3584,64,5,0,204864,64,3,0,36928,245376
193,128,3,1,3584,64,3,1,73792,32,5,0,51232,128608
194,128,3,1,3584,32,3,0,36896,32,3,0,9248,49728
195,128,3,1,3584,64,5,1,204864,32,3,2,18464,226912
196,128,3,1,3584,32,3,1,36896,128,1,2,4224,44704
197,128,3,1,3584,64,3,2,73792,32,5,1,51232,128608
198,128,3,1,3584,64,3,0,73792,32,1,1,2080,79456
199,128,3,1,3584,16,3,0,18448,64,3,1,9280,31312
200,128,3,1,3584,32,1,1,4128,32,5,1,25632,33344
201,128,3,1,3584,64,1,2,8256,32,5,1,51232,63072
202,128,3,1,3584,64,3,2,73792,16,3,0,9232,86608
203,128,3,1,3584,128,3,1,147584,32,3,0,36896,188064
204,128,3,1,3584,64,5,2,204864,64,3,0,36928,245376
205,128,3,1,3584,64,3,2,73792,64,3,1,36928,114304
206,128,3,1,3584,64,3,1,73792,16,5,0,25616,102992
207,128,3,1,3584,32,3,1,36896,32,3,0,9248,49728
208,128,3,1,3584,64,3,2,73792,256,3,1,147712,225088
209,128,3,1,3584,16,1,2,2064,64,5,0,25664,31312
210,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
211,128,3,1,3584,128,3,0,147584,64,5,1,204864,356032
212,128,3,1,3584,32,1,0,4128,128,5,0,102528,110240
213,128,3,1,3584,32,5,1,102432,64,5,2,51264,157280
214,128,3,1,3584,32,3,1,36896,16,5,0,12816,53296
215,128,3,1,3584,128,3,1,147584,16,5,0,51216,202384
216,128,3,1,3584,64,3,1,73792,64,3,1,36928,114304
217,128,3,1,3584,64,3,2,73792,32,5,0,51232,128608
218,128,3,1,3584,64,3,0,73792,64,5,0,102464,179840
219,128,3,1,3584,64,5,1,204864,32,3,0,18464,226912
220,128,3,1,3584,128,3,2,147584,64,5,1,204864,356032
221,128,3,1,3584,64,3,0,73792,64,5,0,102464,179840
222,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
223,128,3,1,3584,64,3,0,73792,32,3,0,18464,95840
224,128,3,1,3584,128,1,2,16512,32,5,0,102432,122528
225,128,3,1,3584,64,3,1,73792,32,5,2,51232,128608
226,128,3,1,3584,32,5,1,102432,32,3,1,9248,115264
227,128,3,1,3584,16,3,0,18448,32,5,1,12832,34864
228,128,3,1,3584,64,3,0,73792,32,5,1,51232,128608
229,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
230,128,3,1,3584,64,1,0,8256,128,3,1,73856,85696
231,128,3,1,3584,64,3,1,73792,256,3,2,147712,225088
232,128,3,1,3584,32,3,0,36896,64,3,0,18496,58976
233,128,3,1,3584,128,5,0,409728,64,5,1,204864,618176
234,128,3,1,3584,64,3,2,73792,64,5,0,102464,179840
235,128,3,1,3584,32,5,1,102432,64,5,0,51264,157280
236,128,3,1,3584,64,3,0,73792,64,5,1,102464,179840
237,128,3,1,3584,64,3,1,73792,128,3,2,73856,151232
238,128,3,1,3584,64,3,0,73792,32,3,1,18464,95840
239,128,3,1,3584,128,5,2,409728,64,5,1,204864,618176
240,128,3,1,3584,16,3,2,18448,32,1,2,544,22576
241,128,3,1,3584,32,5,2,102432,32,5,0,25632,131648
242,128,3,1,3584,32,3,1,36896,32,3,0,9248,49728
243,128,3,1,3584,128,3,2,147584,128,5,0,409728,560896
244,128,3,1,3584,64,1,1,8256,64,3,1,36928,48768
245,128,3,1,3584,128,3,2,147584,32,3,1,36896,188064
246,128,3,1,3584,64,1,0,8256,16,5,2,25616,37456
247,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
248,128,3,1,3584,64,3,1,73792,16,3,0,9232,86608
249,128,3,1,3584,64,5,0,204864,256,3,0,147712,356160
250,128,3,1,3584,64,3,0,73792,64,3,2,36928,114304
251,128,3,1,3584,32,3,0,36896,16,3,1,4624,45104
252,128,3,1,3584,64,3,2,73792,128,3,0,73856,151232
253,128,3,1,3584,64,3,1,73792,64,5,1,102464,179840
254,128,3,1,3584,64,3,2,73792,64,5,0,102464,179840
255,128,3,1,3584,64,3,1,73792,128,3,0,73856,151232
256,128,3,1,3584,64,5,2,204864,128,5,1,204928,413376
257,128,3,1,3584,64,3,2,73792,128,3,0,73856,151232
258,128,3,1,3584,32,3,1,36896,32,5,0,25632,66112
259,128,3,1,3584,32,3,1,36896,256,3,0,73984,114464
260,128,3,1,3584,128,3,1,147584,64,3,1,73792,224960
261,128,3,1,3584,128,3,1,147584,32,5,0,102432,253600
262,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
263,128,3,1,3584,128,3,2,147584,64,5,0,204864,356032
264,128,3,1,3584,64,3,2,73792,64,3,0,36928,114304
265,128,3,1,3584,128,5,1,409728,64,5,2,204864,618176
266,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
267,128,3,1,3584,128,3,0,147584,32,3,0,36896,188064
268,128,3,1,3584,32,3,0,36896,64,5,0,51264,91744
269,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
270,128,3,1,3584,64,3,2,73792,64,3,0,36928,114304
271,128,3,1,3584,128,3,2,147584,64,1,1,8256,159424
272,128,3,1,3584,64,3,1,73792,128,3,0,73856,151232
273,128,3,1,3584,64,5,1,204864,64,3,1,36928,245376
274,128,3,1,3584,64,1,1,8256,64,5,1,102464,114304
275,128,3,1,3584,64,5,0,204864,32,3,1,18464,226912
276,128,3,1,3584,64,3,0,73792,32,3,0,18464,95840
277,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
278,128,3,1,3584,64,3,0,73792,32,5,0,51232,128608
279,128,3,1,3584,128,1,2,16512,32,1,0,4128,24224
280,128,3,1,3584,64,3,0,73792,64,5,2,102464,179840
281,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
282,128,3,1,3584,64,5,1,204864,64,3,0,36928,245376
283,128,3,1,3584,32,3,2,36896,64,5,1,51264,91744
284,128,3,1,3584,64,3,1,73792,32,1,1,2080,79456
285,128,3,1,3584,64,3,1,73792,32,5,1,51232,128608
286,128,3,1,3584,32,3,1,36896,32,1,0,1056,41536
287,128,3,1,3584,32,3,1,36896,32,5,0,25632,66112
288,128,3,1,3584,64,3,1,73792,64,5,0,102464,179840
289,128,3,1,3584,128,3,2,147584,32,3,2,36896,188064
290,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
291,128,3,1,3584,64,3,2,73792,128,3,0,73856,151232
292,128,3,1,3584,64,3,1,73792,32,3,1,18464,95840
293,128,3,1,3584,64,1,2,8256,64,3,0,36928,48768
294,128,3,1,3584,64,3,1,73792,32,3,1,18464,95840
295,128,3,1,3584,64,3,0,73792,64,3,1,36928,114304
296,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
297,128,3,1,3584,32,3,2,36896,64,3,0,18496,58976
298,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
299,128,3,1,3584,128,3,2,147584,64,5,1,204864,356032
300,128,3,1,3584,64,5,2,204864,32,3,0,18464,226912
301,128,3,1,3584,64,3,1,73792,32,3,1,18464,95840
302,128,3,1,3584,64,5,1,204864,64,1,0,4160,212608
303,128,3,1,3584,64,3,1,73792,16,3,0,9232,86608
304,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
305,128,3,1,3584,64,5,2,204864,64,5,1,102464,310912
306,128,3,1,3584,128,3,0,147584,64,3,0,73792,224960
307,128,3,1,3584,64,3,1,73792,32,5,0,51232,128608
308,128,3,1,3584,64,3,1,73792,64,3,1,36928,114304
309,128,3,1,3584,32,3,2,36896,32,3,1,9248,49728
310,128,3,1,3584,64,3,2,73792,32,3,2,18464,95840
311,128,3,1,3584,64,3,2,73792,64,3,0,36928,114304
312,128,3,1,3584,64,3,2,73792,32,3,0,18464,95840
313,128,3,1,3584,64,3,1,73792,64,5,0,102464,179840
314,128,3,1,3584,64,3,1,73792,128,3,0,73856,151232
