iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
135,256,3,2,7168,256,3,1,590080,16,3,0,36880,634128
136,32,5,1,2432,64,3,2,18496,128,5,1,204928,225856
137,32,3,1,896,64,1,2,2112,16,3,1,9232,12240
138,256,3,0,7168,64,3,0,147520,128,1,1,8320,163008
139,32,3,1,896,256,3,1,73984,64,3,0,147520,222400
140,64,5,0,4864,32,3,1,18464,64,3,0,18496,41824
141,256,3,2,7168,64,3,1,147520,256,3,0,147712,302400
142,16,3,1,448,256,3,1,37120,16,1,1,4112,41680
143,256,3,2,7168,256,3,1,590080,256,3,2,590080,1187328
144,64,3,2,1792,16,3,0,9232,128,3,1,18560,29584
145,16,3,2,448,16,3,1,2320,128,3,0,18560,21328
146,256,3,2,7168,64,3,2,147520,32,1,0,2080,156768
147,256,3,0,7168,128,3,2,295040,64,3,1,73792,376000
148,128,3,2,3584,256,3,1,295168,32,3,2,73760,372512
149,256,3,1,7168,256,5,2,1638656,128,5,2,819328,2465152
150,32,3,1,896,32,1,1,1056,128,1,2,4224,6176
151,128,3,2,3584,128,3,1,147584,32,3,1,36896,188064
152,32,5,2,2432,128,1,2,4224,32,3,1,36896,43552
153,128,3,2,3584,32,3,1,36896,128,3,0,36992,77472
154,256,3,2,7168,64,3,2,147520,256,1,2,16640,171328
155,32,3,0,896,64,5,2,51264,128,3,1,73856,126016
156,16,3,1,448,256,3,2,37120,128,3,2,295040,332608
157,128,3,0,3584,256,3,1,295168,128,3,2,295040,593792
158,256,3,1,7168,32,3,2,73760,128,1,1,4224,85152
159,256,3,2,7168,64,3,2,147520,64,1,1,4160,158848
160,32,3,2,896,64,3,2,18496,256,1,0,16640,36032
161,128,3,0,3584,128,5,2,409728,64,1,0,8256,421568
162,16,3,2,448,128,3,1,18560,64,3,0,73792,92800
163,256,3,0,7168,32,3,2,73760,32,5,1,25632,106560
164,16,3,2,448,32,5,1,12832,32,5,2,25632,38912
165,32,3,1,896,32,3,2,9248,64,5,2,51264,61408
166,128,3,0,3584,32,3,2,36896,32,1,1,1056,41536
167,32,3,2,896,16,3,2,4624,128,1,1,2176,7696
168,256,5,1,19456,256,5,2,1638656,64,5,1,409664,2067776
169,256,3,0,7168,64,1,2,16448,64,5,0,102464,126080
170,128,3,2,3584,256,3,0,295168,32,3,1,73760,372512
171,256,5,2,19456,64,3,0,147520,16,3,2,9232,176208
172,256,3,2,7168,256,3,1,590080,64,3,2,147520,744768
173,256,3,2,7168,32,3,1,73760,256,1,2,8448,89376
174,128,1,2,512,16,3,2,18448,64,3,1,9280,28240
175,256,3,2,7168,16,3,2,36880,256,3,2,37120,81168
176,256,3,2,7168,256,1,1,65792,256,5,1,1638656,1711616
177,32,3,2,896,64,1,1,2112,128,5,1,204928,207936
178,64,5,2,4864,256,3,0,147712,128,3,1,295040,447616
179,256,3,2,7168,16,5,2,102416,16,3,1,2320,111904
180,256,3,1,7168,64,3,1,147520,128,3,1,73856,228544
181,32,3,1,896,32,3,1,9248,64,3,2,18496,28640
182,64,3,2,1792,128,3,0,73856,64,5,2,204864,280512
183,64,3,0,1792,16,1,1,1040,16,3,1,2320,5152
184,32,3,1,896,64,3,1,18496,16,5,2,25616,45008
185,16,1,2,64,256,3,1,37120,16,1,2,4112,41296
186,32,3,0,896,256,1,2,8448,256,3,1,590080,599424
187,16,3,0,448,32,3,1,4640,128,3,2,36992,42080
188,256,3,2,7168,32,3,2,73760,128,3,0,36992,117920
189,32,3,2,896,256,3,1,73984,64,1,1,16448,91328
190,64,5,2,4864,16,5,0,25616,32,5,1,12832,43312
191,16,3,1,448,256,3,0,37120,64,5,2,409664,447232
192,32,3,2,896,128,3,2,36992,64,3,0,73792,111680
193,128,3,1,3584,32,3,1,36896,256,3,1,73984,114464
194,256,5,2,19456,64,3,2,147520,256,5,2,409856,576832
195,256,3,2,7168,32,3,2,73760,16,3,0,4624,85552
196,256,3,2,7168,256,3,0,590080,64,3,0,147520,744768
197,256,3,0,7168,256,1,2,65792,32,3,0,73760,146720
198,256,3,2,7168,256,3,1,590080,64,3,0,147520,744768
199,64,3,1,1792,128,5,1,204928,256,3,2,295168,501888
200,32,3,2,896,128,3,1,36992,64,3,1,73792,111680
201,128,3,2,3584,256,3,2,295168,64,3,2,147520,446272
202,64,3,2,1792,128,3,0,73856,32,3,1,36896,112544
203,256,5,1,19456,16,3,0,36880,256,3,0,37120,93456
204,256,1,0,1024,32,3,2,73760,32,3,0,9248,84032
205,16,3,1,448,256,3,1,37120,256,3,2,590080,627648
206,128,5,2,9728,32,3,2,36896,32,5,0,25632,72256
207,128,3,2,3584,32,5,2,102432,128,3,1,36992,143008
208,256,5,1,19456,64,3,1,147520,16,5,1,25616,192592
209,64,3,2,1792,128,3,1,73856,256,1,2,33024,108672
210,64,1,2,256,256,3,1,147712,16,3,2,36880,184848
211,256,3,1,7168,128,3,2,295040,32,3,2,36896,339104
212,128,3,2,3584,64,3,1,73792,32,3,1,18464,95840
213,256,3,1,7168,32,3,2,73760,256,3,2,73984,154912
214,128,3,0,3584,256,1,2,33024,256,1,2,65792,102400
215,128,5,2,9728,256,3,2,295168,128,3,2,295040,599936
216,256,3,2,7168,256,3,2,590080,128,3,2,295040,892288
217,16,3,1,448,64,5,2,25664,32,3,2,18464,44576
218,256,1,2,1024,32,3,1,73760,32,3,2,9248,84032
219,32,3,2,896,32,3,0,9248,256,3,1,73984,84128
220,64,5,2,4864,64,3,2,36928,16,1,2,1040,42832
221,256,3,1,7168,256,3,2,590080,128,3,1,295040,892288
222,256,3,2,7168,32,5,1,204832,256,5,1,205056,417056
223,16,3,0,448,128,3,2,18560,256,3,2,295168,314176
224,32,3,1,896,256,5,1,205056,128,3,0,295040,500992
225,32,3,1,896,16,3,1,4624,256,3,2,37120,42640
226,64,5,2,4864,32,3,1,18464,256,1,1,8448,31776
227,128,3,2,3584,256,3,2,295168,32,3,1,73760,372512
228,256,3,1,7168,256,5,0,1638656,128,3,1,295040,1940864
229,256,3,2,7168,32,3,0,73760,256,3,0,73984,154912
230,64,3,2,1792,256,3,1,147712,64,3,1,147520,297024
231,256,3,2,7168,32,1,0,8224,32,3,0,9248,24640
232,32,3,2,896,32,3,2,9248,16,5,1,12816,22960
233,32,3,1,896,256,3,1,73984,128,3,1,295040,369920
234,256,3,2,7168,256,3,1,590080,32,5,2,204832,802080
235,64,3,2,1792,128,3,1,73856,32,3,2,36896,112544
236,16,3,1,448,128,1,1,2176,256,3,1,295168,297792
237,32,3,0,896,16,1,1,528,128,5,1,51328,52752
238,256,3,1,7168,16,5,0,102416,64,3,1,9280,118864
239,256,3,2,7168,32,5,2,204832,256,3,0,73984,285984
240,16,3,2,448,64,5,1,25664,128,3,1,73856,99968
241,64,3,2,1792,128,3,2,73856,32,3,1,36896,112544
